harvest,location,point,count,season,spp,origin,cut,year,numb_yrs_grow,wall,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl,suppressed,exposed,total,winners
decker,interior,226,1,2020,rm,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
decker,interior,226,1,2020,sb,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
decker,interior,226,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,6077.015089235906,0,0,0,0,6077.015089235906,6077.015089235906,1155.4768968283274
decker,interior,226,1,2020,eh,singl/unk,2019,2020,1,protected,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,385.1589656094425
decker,interior,227,1,2020,sm,veg,2019,2020,1,protected,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,1540.63586243777
decker,interior,228,1,2020,eh,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,385.1589656094425,0,385.1589656094425,385.1589656094425,385.1589656094425
decker,interior,229,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,5064.179241029922,385.1589656094425,0,0,0,5449.338206639364,5449.338206639364,1540.63586243777
decker,interior,229,1,2020,ab,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,385.1589656094425,0,385.1589656094425,385.1589656094425,0
decker,interior,230,1,2020,eh,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,385.1589656094425,0,0,385.1589656094425,385.1589656094425,385.1589656094425
decker,interior,231,1,2020,sb,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
decker,interior,231,1,2020,eh,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
decker,interior,232,1,2020,ah,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
decker,interior,232,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,770.317931218885
decker,interior,233,1,2020,eh,singl/unk,2019,2020,1,protected,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,770.317931218885
decker,interior,233,1,2020,bc,singl/unk,2019,2020,1,protected,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,770.317931218885
decker,interior,234,1,2020,wa,veg,2019,2020,1,protected,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,770.317931218885
decker,interior,235,1,2020,empty,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,0,0,0,0,0
decker,interior,236,1,2020,empty,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,0,0,0,0,0
decker,interior,237,1,2020,rm,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
decker,interior,237,1,2020,sb,veg,2019,2020,1,protected,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,1540.63586243777
decker,interior,237,1,2020,pc,veg,2019,2020,1,protected,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,385.1589656094425
decker,interior,238,1,2020,empty,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,0,0,0,0,0
decker,interior,239,1,2020,empty,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,0,0,0,0,0
decker,interior,240,1,2020,stm,veg,2019,2020,1,protected,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,1540.63586243777
decker,interior,241,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,770.317931218885
decker,interior,242,1,2020,bc,singl/unk,2019,2020,1,protected,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,770.317931218885
decker,interior,243,1,2020,empty,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,0,0,0,0,0
decker,interior,244,1,2020,stm,veg,2019,2020,1,protected,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,0
decker,interior,244,1,2020,stm,singl/unk,2019,2020,1,protected,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,385.1589656094425
decker,interior,244,1,2020,ah,singl/unk,2019,2020,1,protected,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,385.1589656094425
